name,psnr,ssim,lpips
000026,22.66543964866529,0.7247199491639137,0.1942051649093628
000102,32.587138097029666,0.806133079809457,0.07400213927030563
000108,18.558416643319976,0.6572221731687811,0.2281714826822281
000122,30.493953793804998,0.8864542082520984,0.07454466819763184
000130,23.741403280047987,0.810366798275724,0.15466748178005219
000177,25.716468160856568,0.3693168604932487,0.1729397028684616
000187,31.40507567484889,0.8929558635127097,0.09324178099632263
000284,22.6442303601388,0.6939620728511149,0.2049434632062912
000292,31.731439166851704,0.9386080883518457,0.05371249467134476
000322,27.876254432484068,0.8310752209106833,0.12158925086259842
000326,31.00683564750508,0.9059680139922202,0.06563808768987656
000356,24.48273596577893,0.7099025573377304,0.18521888554096222
000379,20.895301775590617,0.7437668228220604,0.21744416654109955
000383,25.693664163996797,0.4587065666563306,0.35821378231048584
000396,25.007120220961937,0.7592281290585399,0.19076594710350037
000413,20.665362761267883,0.5800077475867109,0.21158477663993835
000418,27.85134780119082,0.483755725406209,0.14050225913524628
000419,28.053466891827263,0.4888766601318717,0.15045471489429474
000456,24.99158507563731,0.5960920760745629,0.4174065589904785
000511,24.217990441153532,0.6843426380472015,0.18530407547950745
000571,25.116897089640847,0.7452429996978063,0.17639239132404327
000636,27.470286646037568,0.8047880244245529,0.12339025735855103
000653,27.112688347975613,0.8004153875545263,0.14945437014102936
000666,34.67113528521429,0.9844324706634879,0.0472915880382061
000669,27.633024481813887,0.6878971732759513,0.23205775022506714
000700,32.17820928316857,0.8782007716135979,0.13152700662612915
000787,33.394780853071836,0.8980792527678013,0.05649367347359657
000814,23.515013209762202,0.7476897660185396,0.16726823151111603
000858,30.46240544368318,0.727756000264287,0.11163727939128876
000881,32.30957842930004,0.8646104938550889,0.13686449825763702
000895,27.48860662232672,0.7785795137221014,0.24076788127422333
000902,26.54126338741944,0.805456137548497,0.12189505994319916
000914,23.234240140902145,0.7635482539405525,0.16844086349010468
000933,30.60490516041174,0.7626467607811764,0.1309642791748047
000952,25.76386152330603,0.4688634125393033,0.4714556932449341
000953,32.22024118232134,0.696694316239357,0.14198169112205505
001002,27.296490916406306,0.5193057426201841,0.49993762373924255
001003,27.16827831028723,0.5210168301016465,0.3132670223712921
001083,36.8039521624886,0.9026755259971618,0.0526827909052372
001093,37.031443120488774,0.9389472727704048,0.04720824584364891
001126,28.007591514903,0.8309957480485956,0.12387654930353165
001138,27.451134916155247,0.8102056216373443,0.20801788568496704
001139,27.012370195519,0.7856340839589984,0.22496949136257172
001185,26.910408601316934,0.8106740991461426,0.1370852291584015
001200,27.80792525763853,0.8092834469213038,0.20125126838684082
001378,26.432797861642317,0.7064562658145831,0.19048677384853363
001393,29.50561685722483,0.7147698149722814,0.2468041479587555
