name,psnr,ssim,lpips
000026,22.148146787767402,0.7153950839076638,0.30437010526657104
000102,22.05848971948543,0.30457367016064774,0.6380094289779663
000108,18.004374600749557,0.6231701951982075,0.39105191826820374
000122,23.675866853541056,0.6628024569128572,0.3517593741416931
000130,22.430341957387885,0.7854874370835908,0.2998550534248352
000177,20.239877390432298,0.23526234704537086,0.6373244524002075
000187,26.647135041744487,0.7804991426471283,0.2778453826904297
000284,20.841708549351754,0.6010421602674317,0.4414331316947937
000292,28.87702173348783,0.8449553701915294,0.1892217993736267
000322,24.707105669247724,0.7230039975971104,0.2928959131240845
000326,28.845583456769802,0.8258178702204964,0.22506415843963623
000356,21.726908630967756,0.5168440245220175,0.4573200047016144
000379,18.73665564674174,0.4165227772212946,0.5616861581802368
000383,20.99451102219539,0.3030625419978596,0.7188970446586609
000396,23.8017719652624,0.7385959766186476,0.31483691930770874
000413,18.34814755281855,0.5026487025697598,0.388945072889328
000418,23.36520299507797,0.36146591711631954,0.6259407997131348
000419,23.164466723850452,0.3532662873373636,0.6325358748435974
000456,21.086696965515124,0.4777803045842842,0.5177863836288452
000511,23.542524351098763,0.6661922916114158,0.36330628395080566
000571,22.43842562415288,0.6391339890858762,0.34695130586624146
000636,26.84460143051673,0.786458374676466,0.23198388516902924
000653,26.248497819621413,0.7776229662377685,0.20913848280906677
000666,33.432166590055,0.968509853074206,0.09158795326948166
000669,22.148363686851305,0.45067735030329464,0.4478926360607147
000700,26.33529812287557,0.7118449278377453,0.2540542483329773
000787,29.00777509519099,0.7959624272140852,0.235005185008049
000814,22.319040319899873,0.7243188174246389,0.2852603495121002
000858,20.581329078548848,0.25076136690248985,0.6548346877098083
000881,24.33533462954776,0.497583521718421,0.5155450701713562
000895,20.881028624999693,0.27342193868662545,0.5931636691093445
000902,25.230381312415066,0.7738485708661561,0.19949418306350708
000914,22.143442014859964,0.7450726644138591,0.2842649817466736
000933,27.506263581111536,0.6907515853817929,0.3025374412536621
000952,19.633162017330775,0.3003210513793885,0.5426926612854004
000953,22.877242641809726,0.27685341759102416,0.655934751033783
001002,21.356324488598716,0.29351497006132826,0.6764703989028931
001003,19.6483098128085,0.23829376373808353,0.6688889265060425
001083,21.546643575980454,0.24371197816013795,0.6136645674705505
001093,29.822040900282477,0.7630430003415802,0.3996202051639557
001126,23.994095283644445,0.6329115860050735,0.43994835019111633
001138,22.12317183004394,0.519541395884015,0.38099145889282227
001139,21.188206969158312,0.4934331611935553,0.411917507648468
001185,23.902955161861573,0.6945709518825579,0.35544660687446594
001200,23.219485791355815,0.6082143265926131,0.3396110236644745
001378,22.635929550188948,0.5428866176426378,0.42998552322387695
001393,21.343323468162826,0.3165701608673395,0.5875487923622131
001408,29.067556277563025,0.8481770584987877,0.27702823281288147
001455,23.490132801855793,0.39646097342014497,0.5664715766906738
001470,22.09798396138574,0.7380900344538726,0.26217079162597656
001481,19.612498998168036,0.3324700107816236,0.5686216354370117
001494,23.855863351866702,0.5880495371452162,0.39003440737724304
001516,21.397327517926833,0.7051501769236049,0.3357352912425995
001550,25.7896721073098,0.5751263303863536,0.4635157883167267
001556,20.266466126129316,0.2119210648205334,0.6266605854034424
001718,22.541167732256284,0.3392002375964423,0.4775245189666748
001728,23.38968443934347,0.8339147487650812,0.206861674785614
001731,18.199993361039205,0.6428535744940294,0.37935036420822144
001839,23.515241281193134,0.6890505501327189,0.35997506976127625
001857,24.11239925104001,0.36946040186680273,0.610222578048706
001881,21.416522754703493,0.5909196036686188,0.42366790771484375
001893,20.29738037326045,0.4281697851247601,0.4129754900932312
002069,31.329776686179592,0.8161996674949675,0.24717625975608826
002187,22.10770755070922,0.4570759854379718,0.47036415338516235
002196,20.218950561413894,0.5383268951360398,0.3947972059249878
002232,19.432311562158073,0.22786035286931683,0.506813645362854
002233,21.083631660844773,0.32328436343254346,0.568934977054596
002261,22.00074681005998,0.31603984676472346,0.7121000289916992
002298,26.020087579293904,0.6522919223135673,0.35491207242012024
002364,24.079698515918654,0.6288383283953574,0.34539929032325745
002413,22.132175144075926,0.23364480818654149,0.634583592414856
002418,24.048961855719252,0.667737256651978,0.37378692626953125
002465,23.528582016897673,0.6751554371315437,0.32053956389427185
002472,21.25608279619233,0.790962307710547,0.2549830973148346
002495,18.8128163620328,0.5181013923031602,0.48190227150917053
002533,17.693538144875518,0.5265579601256721,0.6108279228210449
002574,22.083986758098554,0.2820518403860863,0.6526724100112915
002600,23.880139719485612,0.555615059896614,0.4197075068950653
002603,25.73906461298889,0.6531500202105399,0.29556190967559814
002619,23.683585785707155,0.7856451911196601,0.20339152216911316
002654,21.569589376716635,0.6135335340357677,0.4746239483356476
002661,24.907494063997362,0.4652609814972114,0.5597826838493347
002708,18.64551530738278,0.28676855805925394,0.5225292444229126
002745,25.899007125615633,0.6226662973563816,0.381835401058197
002771,21.47719831632513,0.40292340962886136,0.39151379466056824
002799,22.303001425896994,0.27522943168981046,0.5912222266197205
002859,24.267465834614352,0.3865165520784795,0.49368923902511597
002872,25.085957287576196,0.564763296135687,0.41568976640701294
002874,20.600266725600594,0.16645105764689744,0.5994476675987244
002885,22.88969368017395,0.6390477414322522,0.37164294719696045
002932,24.547887452814162,0.6386830018952703,0.3842187225818634
002986,21.455906213085246,0.31359013971221084,0.470786988735199
002988,20.2021621570267,0.22692061499690913,0.6189179420471191
003016,20.02693040677254,0.6696319326566379,0.34194254875183105
003033,20.098092703149018,0.49316542400637525,0.433930903673172
003037,27.649737101558934,0.8829974700711369,0.14161208271980286
003108,20.7221111512691,0.33970359471409295,0.5970537662506104
003127,25.339344355190235,0.49554335992791865,0.5362923741340637
003151,23.255272392370927,0.6032727661880015,0.381516695022583
003158,20.970117786269785,0.23119366999736557,0.6335836052894592
